Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
reservation,flight.reservation.order,LoggingOrderObserver,0,0,3,3,11,3,0,1,-1.0,0,1
reservation,flight.reservation.order,ChainFlightOrder,1,0,3,2,17,3,0,2,0.0,0,3
reservation,flight.reservation.order,Order,5,0,10,10,37,10,1,0,0.5,0,1
reservation,flight.reservation.order,OrderObserver,0,0,3,0,5,3,1,0,-1.0,1,1
reservation,flight.reservation.order,FlightOrder,4,0,17,13,108,24,1,1,0.11764705882352941,4,4
reservation,flight.reservation.order,OrderContext,3,0,5,5,22,5,0,0,0.0,6,2
reservation,flight.reservation.order.handler,ConfirmationHandler,0,0,1,0,8,2,0,1,-1.0,0,1
reservation,flight.reservation.order.handler,PaymentHandler,0,0,1,0,7,1,0,1,-1.0,0,1
reservation,flight.reservation.order.handler,ValidationHandler,0,0,1,0,18,5,0,1,-1.0,0,1
reservation,flight.reservation.order.handler,OrderProcessingHandler,1,0,3,2,15,4,4,0,0.0,2,2
reservation,flight.reservation.order.handler,ClosureHandler,0,0,1,0,8,2,0,1,-1.0,0,1
reservation,flight.reservation,Passenger,1,0,2,2,9,2,0,0,0.0,0,0
reservation,flight.reservation,Customer,3,0,9,8,50,11,0,0,0.0,2,1
reservation,flight.reservation,Airport,5,0,8,8,37,8,0,0,0.25,3,0
reservation,flight.reservation.payment,Paypal,1,1,0,0,7,0,0,0,-1.0,1,0
reservation,flight.reservation.payment,PayPalPaymentStrategy,2,0,4,4,24,5,0,1,0.5,0,1
reservation,flight.reservation.payment,CreditCardPaymentStrategy,1,0,4,4,28,6,0,1,0.5,0,1
reservation,flight.reservation.payment,PaymentStrategy,0,0,3,0,22,3,2,0,-1.0,3,0
reservation,flight.reservation.payment,CreditCard,5,0,5,5,29,5,0,0,0.0,2,0
reservation,flight.reservation.flight,Flight,4,0,8,6,36,9,1,0,0.0,1,2
reservation,flight.reservation.flight,AnalyticsFlightObserver,3,0,7,7,30,7,0,1,0.5714285714285714,0,1
reservation,flight.reservation.flight,FlightObserver,0,0,4,0,6,4,3,0,-1.0,1,1
reservation,flight.reservation.flight,NotificationFlightObserver,1,0,5,5,18,5,0,1,0.0,0,1
reservation,flight.reservation.flight,Schedule,1,0,7,7,31,9,0,0,0.0,0,2
reservation,flight.reservation.flight,ScheduledFlight,11,0,25,20,181,38,0,1,0.0,5,4
reservation,flight.reservation.flight,Builder,7,0,8,8,100,14,0,0,0.375,1,2
reservation,flight.reservation.flight,LoggingFlightObserver,0,0,4,4,14,4,0,1,-1.0,0,1
reservation,flight.reservation.plane,PassengerDrone,1,0,4,4,20,5,0,1,0.75,1,0
reservation,flight.reservation.plane,PassengerPlane,3,3,4,4,37,8,0,1,0.0,1,0
reservation,flight.reservation.plane,PassengerPlaneAdapter,1,0,6,6,27,6,0,2,0.3333333333333333,0,1
reservation,flight.reservation.plane,PassengerDroneAdapter,3,0,6,6,29,6,0,2,0.6666666666666666,0,1
reservation,flight.reservation.plane,HelicopterAdapter,1,0,6,6,27,6,0,2,0.5,0,1
reservation,flight.reservation.plane,Helicopter,2,0,4,4,25,6,0,1,0.5,1,0
reservation,flight.reservation.plane,AircraftFactory,0,0,2,2,28,5,0,0,-1.0,0,1
reservation,flight.reservation.plane,AircraftAdapter,0,0,1,0,6,1,3,1,-1.0,3,0
reservation,flight.reservation.plane,Aircraft,0,0,3,0,5,3,4,0,-1.0,1,0
